id,SurveyNum,Avrage_PR,Trans_lengthm,Lionfish_size_TL,Habitat_type,Lionfish_visibility,Lionfish_behaviour,Adj_behaviour,TOD,Num_attempts,Captured_bin,Mins_elapsed,Hrs_elapsed,Adj_min,Gamma_min,Capturer_name,Proportion_caught,Adj_Prop,Prop_remaining,Cap_Dives,Cap_removals,Cap_exp,Cap_affl,Cap_exp_new,Cap_exp_2821,Date,Date2,Study_period,Observer,Site_ID,Proportion_surveyed,Region,Sub_region,Location,Type,Depth_ft,trans_area,Site_area_m2,Average,LF,i.Site_ID,i.trans_area,NumPerSurv,AvgTimeSurv,i.NumPerSurv,i.trans_area.1,TransDens,i.Site_area_m2,AvgLFSite,AvgTimeSite,i.Site_area_m2.1,SiteDens1000,SiteDens,AvgCoral,AvgGorg
102,257,0.931034483,35,7,Reef,SH,rest,rest,midday,2,0,4.002,0.0667,4.002,4.002,Austen.Elissa,0,0.001,1,18,0,Low,Intern,None,Low,10/5/2013,Fall 2013,5,Austen/Elissa,Benwood Ledge,0.5,Florida,FKNMS,Key Largo,continuous,60,1000,2000,51,1,Benwood Ledge,1000,1,4.002,1,1000,0.001,2000,1.4,2.6004,2000,0.7,7e-4,7.047093398714286,15.233921638914286
135,302,0.555555556,10,10,Reef,SH,rest,rest,midday,1,0,1.002,0.0167,1.002,1.002,Lindsay,0,0.001,1,500,0,Low,Volunteer,Low,Low,11/19/2013,Fall 2013,6,Lindsay and Catie,Benwood Ledge,0.5,Florida,FKNMS,Key Largo,continuous,53,1000,2000,51,1,Benwood Ledge,1000,1,1.002,1,1000,0.001,2000,1.4,2.6004,2000,0.7,7e-4,7.047093398714286,15.233921638914286
420,2428,0.857142857,38,15,Reef,SH,hover,active,midday,2,1,7.002,0.1167,7.002,7.002,Liz,1,0.99999,0,400,200,High,NRM&CS,High,High,12/10/2014,Winter 2015,13,Liz and Ashtyn,Benwood Ledge,0.5,Florida,FKNMS,Key Largo,continuous,80,1000,2000,51,1,Benwood Ledge,1000,1,7.002,1,1000,0.001,2000,1.4,2.6004,2000,0.7,7e-4,7.047093398714286,15.233921638914286
439,2493,0.714285714,3,15,Reef,SH,rest,rest,midday,1,1,0.498,0.0083,0.498,0.498,Liz,1,0.99999,0,400,200,High,NRM&CS,High,High,1/20/2015,Winter 2015,14,Liz and BZ,Benwood Ledge,0.5,Florida,FKNMS,Key Largo,continuous,80,1000,2000,51,1,Benwood Ledge,1000,2,0.498,2,1000,0.002,2000,1.4,2.6004,2000,0.7,7e-4,7.047093398714286,15.233921638914286
440,2493,0.714285714,3,15,Reef,SH,rest,rest,midday,1,1,0.498,0.0083,0.498,0.498,Liz,1,0.99999,0,400,200,High,NRM&CS,High,High,1/20/2015,Winter 2015,14,Liz and BZ,Benwood Ledge,0.5,Florida,FKNMS,Key Largo,continuous,80,1000,2000,51,1,Benwood Ledge,1000,2,0.498,2,1000,0.002,2000,1.4,2.6004,2000,0.7,7e-4,7.047093398714286,15.233921638914286
99,251,0.931034483,NA,18,Reef,EXP,hover,active,midday,1,1,4.002,0.0667,4.002,4.002,Austen.Liz.Keri.Adam,1,0.99999,0,18,0,Low,Intern,None,Low,10/10/2013,Fall 2013,5,Austen Liz Keri Adam,Conch 3A,0.5,Florida,FKNMS,Conch Reef,continuous,43,1000,2000,33.53846153846154,1,Conch 3A,1000,2,6,2,1000,0.002,2000,1.3636363636363635,2.126121212090909,2000,0.6818181818181818,6.818181818181818e-4,4.663967315089552,7.557962894492538
100,251,0.931034483,NA,17,Reef,EXP,hover,active,midday,1,1,7.998,0.1333,7.998,7.998,Austen.Liz.Keri.Adam,1,0.99999,0,18,0,Low,Intern,None,Low,10/10/2013,Fall 2013,5,Austen Liz Keri Adam,Conch 3A,0.5,Florida,FKNMS,Conch Reef,continuous,43,1000,2000,33.53846153846154,1,Conch 3A,1000,2,6,2,1000,0.002,2000,1.3636363636363635,2.126121212090909,2000,0.6818181818181818,6.818181818181818e-4,4.663967315089552,7.557962894492538
138,352,0.8,16,24,Reef,SH,rest,rest,midday,1,1,0,0,0.083333333,0.083333333,Ben,1,0.99999,0,NA,NA,Low,Intern,Medium,Low,1/28/2014,Winter 2014,7,"Ben, Jen Savarro, Adam",Conch 3A,0.5,Florida,FKNMS,Conch Reef,continuous,44,1000,2000,33.53846153846154,1,Conch 3A,1000,2,1.0406666665,2,1000,0.002,2000,1.3636363636363635,2.126121212090909,2000,0.6818181818181818,6.818181818181818e-4,4.663967315089552,7.557962894492538
139,352,0.8,6,27,Reef,EXP,rest,rest,midday,3,1,1.998,0.0333,1.998,1.998,Ben,1,0.99999,0,NA,NA,Low,Intern,Medium,Low,1/28/2014,Winter 2014,7,"Ben, Jen Savarro, Adam",Conch 3A,0.5,Florida,FKNMS,Conch Reef,continuous,44,1000,2000,33.53846153846154,1,Conch 3A,1000,2,1.0406666665,2,1000,0.002,2000,1.3636363636363635,2.126121212090909,2000,0.6818181818181818,6.818181818181818e-4,4.663967315089552,7.557962894492538
140,354,1,47,34,Reef,EXP,hover,active,midday,3,1,3,0.05,3,3,Ben,1,0.99999,0,NA,NA,Low,Intern,Medium,Low,2/11/2014,Winter 2014,7.5,Ben and Taylor,Conch 3A,0.5,Florida,FKNMS,Conch Reef,continuous,40,1000,2000,33.53846153846154,1,Conch 3A,1000,1,3,1,1000,0.001,2000,1.3636363636363635,2.126121212090909,2000,0.6818181818181818,6.818181818181818e-4,4.663967315089552,7.557962894492538
