id,SurveyNum,Avrage_PR,Trans_lengthm,Lionfish_size_TL,Habitat_type,Lionfish_visibility,Lionfish_behaviour,Adj_behaviour,TOD,Num_attempts,Captured_bin,Mins_elapsed,Hrs_elapsed,Adj_min,Gamma_min,Capturer_name,Proportion_caught,Adj_Prop,Prop_remaining,Cap_Dives,Cap_removals,Cap_exp,Cap_affl,Cap_exp_new,Cap_exp_2821,Date,Date2,Study_period,Observer,Site_ID,Proportion_surveyed,Region,Sub_region,Location,Type,Depth_ft,trans_area,Site_area_m2,Average,LF,i.Site_ID,i.trans_area,NumPerSurv,AvgTimeSurv,i.NumPerSurv,i.trans_area.1,TransDens,i.Site_area_m2,AvgLFSite,AvgTimeSite,i.Site_area_m2.1,SiteDens1000,SiteDens,AvgCoral,AvgGorg
189,1003,0.90625,35,27,Reef,SH,rest,rest,midday,0,0,NA,NA,0,1e-8,Tony,0.857142857,0.857142857,0.142857143,NA,NA,NA,Dive Professional,High,High,2/16/2013,Winter 2013,1,Stopher Slade,Buck-I1,0.33,USVI,BIRNM,Buck Island,continuous,37,250,2000,98.33333333333333,1,Buck-I1,250,7,1.726190476142857,7,250,0.028,2000,4.428571428571429,2.5043492062380954,2000,2.2142857142857144,0.002214285714285714,12.916666666666666,21.666666666666668
183,1003,0.90625,6,27,Reef,SH,rest,rest,midday,1,1,0,0,0.083333333,0.083333333,Tony,0.857142857,0.857142857,0.142857143,NA,NA,NA,Dive Professional,High,High,2/16/2013,Winter 2013,1,Stopher Slade,Buck-I1,0.33,USVI,BIRNM,Buck Island,continuous,37,250,2000,98.33333333333333,1,Buck-I1,250,7,1.726190476142857,7,250,0.028,2000,4.428571428571429,2.5043492062380954,2000,2.2142857142857144,0.002214285714285714,12.916666666666666,21.666666666666668
184,1003,0.90625,38,21,Reef,SH,hover,active,midday,1,1,1.002,0.0167,1.002,1.002,Tony,0.857142857,0.857142857,0.142857143,NA,NA,NA,Dive Professional,High,High,2/16/2013,Winter 2013,1,Stopher Slade,Buck-I1,0.33,USVI,BIRNM,Buck Island,continuous,37,250,2000,98.33333333333333,1,Buck-I1,250,7,1.726190476142857,7,250,0.028,2000,4.428571428571429,2.5043492062380954,2000,2.2142857142857144,0.002214285714285714,12.916666666666666,21.666666666666668
185,1003,0.90625,12,34,Reef,SH,rest,rest,midday,1,1,1.998,0.0333,1.998,1.998,Tony,0.857142857,0.857142857,0.142857143,NA,NA,NA,Dive Professional,High,High,2/16/2013,Winter 2013,1,Stopher Slade,Buck-I1,0.33,USVI,BIRNM,Buck Island,continuous,37,250,2000,98.33333333333333,1,Buck-I1,250,7,1.726190476142857,7,250,0.028,2000,4.428571428571429,2.5043492062380954,2000,2.2142857142857144,0.002214285714285714,12.916666666666666,21.666666666666668
186,1003,0.90625,12,12,Reef,SH,rest,rest,midday,1,1,3,0.05,3,3,Tony,0.857142857,0.857142857,0.142857143,NA,NA,NA,Dive Professional,High,High,2/16/2013,Winter 2013,1,Stopher Slade,Buck-I1,0.33,USVI,BIRNM,Buck Island,continuous,37,250,2000,98.33333333333333,1,Buck-I1,250,7,1.726190476142857,7,250,0.028,2000,4.428571428571429,2.5043492062380954,2000,2.2142857142857144,0.002214285714285714,12.916666666666666,21.666666666666668
187,1003,0.90625,13,31,Reef,SH,rest,rest,midday,1,1,3,0.05,3,3,Tony,0.857142857,0.857142857,0.142857143,NA,NA,NA,Dive Professional,High,High,2/16/2013,Winter 2013,1,Stopher Slade,Buck-I1,0.33,USVI,BIRNM,Buck Island,continuous,37,250,2000,98.33333333333333,1,Buck-I1,250,7,1.726190476142857,7,250,0.028,2000,4.428571428571429,2.5043492062380954,2000,2.2142857142857144,0.002214285714285714,12.916666666666666,21.666666666666668
188,1003,0.90625,13,32,Reef,SH,rest,rest,midday,1,1,3,0.05,3,3,Tony,0.857142857,0.857142857,0.142857143,NA,NA,NA,Dive Professional,High,High,2/16/2013,Winter 2013,1,Stopher Slade,Buck-I1,0.33,USVI,BIRNM,Buck Island,continuous,37,250,2000,98.33333333333333,1,Buck-I1,250,7,1.726190476142857,7,250,0.028,2000,4.428571428571429,2.5043492062380954,2000,2.2142857142857144,0.002214285714285714,12.916666666666666,21.666666666666668
190,1005,0.90625,50,11,Reef,EXP,hover,active,midday,1,1,1.998,0.0333,1.998,1.998,Steve BI,1,0.99999,0,NA,NA,High,Dive Professional,High,High,2/16/2013,Winter 2013,1,Wes,Buck-I1,0.33,USVI,BIRNM,Buck Island,continuous,25,250,2000,98.33333333333333,1,Buck-I1,250,1,1.998,1,250,0.004,2000,4.428571428571429,2.5043492062380954,2000,2.2142857142857144,0.002214285714285714,12.916666666666666,21.666666666666668
235,1116,0.809523809,46,25,Reef,SH,rest,rest,midday,0,0,13.002,0.2167,7.002,7.002,Andrew,0.6,0.6,0.4,NA,NA,NA,NA,Medium,Low,5/12/2013,Spring 2013,2,Stopher,Buck-I1,0.5,USVI,BIRNM,Buck Island,continuous,37,500,2000,98.33333333333333,1,Buck-I1,500,5,7.2012,5,500,0.01,2000,4.428571428571429,2.5043492062380954,2000,2.2142857142857144,0.002214285714285714,12.916666666666666,21.666666666666668
232,1116,0.809523809,11,30,Reef,SH,rest,rest,midday,2,0,4.002,0.0667,4.002,4.002,Andrew,0.6,0.6,0.4,NA,NA,NA,NA,Medium,Low,5/12/2013,Spring 2013,2,Stopher,Buck-I1,0.5,USVI,BIRNM,Buck Island,continuous,37,500,2000,98.33333333333333,1,Buck-I1,500,5,7.2012,5,500,0.01,2000,4.428571428571429,2.5043492062380954,2000,2.2142857142857144,0.002214285714285714,12.916666666666666,21.666666666666668
