id,SurveyNum,Avrage_PR,Trans_lengthm,Lionfish_size_TL,Habitat_type,Lionfish_visibility,Lionfish_behaviour,Adj_behaviour,TOD,Num_attempts,Captured_bin,Mins_elapsed,Hrs_elapsed,Adj_min,Gamma_min,Capturer_name,Proportion_caught,Adj_Prop,Prop_remaining,Cap_Dives,Cap_removals,Cap_exp,Cap_affl,Cap_exp_new,Cap_exp_2821,Date,Date2,Study_period,Observer,Site_ID,Proportion_surveyed,Region,Sub_region,Location,Type,Depth_ft,trans_area,Site_area_m2,Average,LF,i.Site_ID,i.trans_area,NumPerSurv,AvgTimeSurv,i.NumPerSurv,i.trans_area.1,TransDens,i.Site_area_m2,AvgLFSite,AvgTimeSite,i.Site_area_m2.1,SiteDens1000,SiteDens,AvgCoral,AvgGorg
226,1111,0.809523809,18,35,Reef,EXP,hover,active,Crepuscular,1,1,0,0,0.083333333,0.083333333,Rich,1,0.99999,0,300,50,Low,NRM&CS,Medium,Low,5/12/2013,Spring 2013,2,Stopher,Buck-LF5,0.5,USVI,BIRNM,Buck Island,continuous,53,500,2000,82.5,1,Buck-LF5,500,2,1.0406666665,2,500,0.004,2000,2.6,2.1609777776666665,2000,1.3,0.0013,20.833333333333332,35.333333333333336
228,1112,0.809523809,45,20,Reef,SH,hover,active,Crepuscular,1,1,1.002,0.0167,1.002,1.002,Robert,1,0.99999,0,NA,NA,NA,NRM&CS,High,High,5/12/2013,Spring 2013,2,John,Buck-LF5,0.5,USVI,BIRNM,Buck Island,continuous,57,500,2000,82.5,1,Buck-LF5,500,2,2.001,2,500,0.004,2000,2.6,2.1609777776666665,2000,1.3,0.0013,20.833333333333332,35.333333333333336
229,1112,0.809523809,45,23,Reef,SH,hover,active,Crepuscular,1,1,4.002,0.0667,3,3,Robert,1,0.99999,0,NA,NA,NA,NRM&CS,High,High,5/12/2013,Spring 2013,2,John,Buck-LF5,0.5,USVI,BIRNM,Buck Island,continuous,57,500,2000,82.5,1,Buck-LF5,500,2,2.001,2,500,0.004,2000,2.6,2.1609777776666665,2000,1.3,0.0013,20.833333333333332,35.333333333333336
984,5317,0.397435641,NA,20,Reef,EXP,hover,active,Crepuscular,1,0,NA,0.00139,0,1e-8,Nikkie and Hanna,0.83333,0.83333,0.16667,NA,NA,Low,Volunteer,Medium,Low,6/27/2018,Summer 2018,23,Steve Gittings,EFGB#1,0.25,FGBNMS,FGBNMS,East Bank,continuous,80,500,7850,221.07142857142858,1,EFGB#1,500,1,0,1,500,0.002,7850,4.75,0.374999999875,7850,0.6050955414012739,6.050955414012739e-4,87.16666666666667,0
1035,5413,0.485620915,NA,40,Reef,EXP,swim,active,Crepuscular,0,0,0,0,0,1e-8,Kara and Holden,0.333333333,0.333333333,0.666666667,NA,NA,High,NRM&CS,High,High,8/27/2019,Summer 2019,26,Leah Neal,EFGB#1,0.25,FGBNMS,FGBNMS,East Bank,continuous,57,500,7850,221.07142857142858,1,EFGB#1,500,6,0.24999999983333332,6,500,0.012,7850,4.75,0.374999999875,7850,0.6050955414012739,6.050955414012739e-4,87.16666666666667,0
1031,5413,0.485620915,NA,20,Reef,SH,rest,rest,Crepuscular,2,0,0.333333333,0.00556,0.333333333,0.333333333,Fogg and Rachel,0.333333333,0.333333333,0.666666667,NA,NA,High,NRM&CS,High,High,8/27/2019,Summer 2019,26,Leah Neal,EFGB#1,0.25,FGBNMS,FGBNMS,East Bank,continuous,57,500,7850,221.07142857142858,1,EFGB#1,500,6,0.24999999983333332,6,500,0.012,7850,4.75,0.374999999875,7850,0.6050955414012739,6.050955414012739e-4,87.16666666666667,0
1033,5413,0.485620915,NA,20,Reef,EXP,hover,active,Crepuscular,1,1,0.083333333,0.00139,0.083333333,0.083333333,Fogg and Rachel,0.333333333,0.333333333,0.666666667,NA,NA,High,NRM&CS,High,High,8/27/2019,Summer 2019,26,Leah Neal,EFGB#1,0.25,FGBNMS,FGBNMS,East Bank,continuous,57,500,7850,221.07142857142858,1,EFGB#1,500,6,0.24999999983333332,6,500,0.012,7850,4.75,0.374999999875,7850,0.6050955414012739,6.050955414012739e-4,87.16666666666667,0
1034,5413,0.485620915,NA,15,Reef,SH,rest,rest,Crepuscular,1,1,0.083333333,0.00139,0.083333333,0.083333333,Fogg and Rachel,0.333333333,0.333333333,0.666666667,NA,NA,High,NRM&CS,High,High,8/27/2019,Summer 2019,26,Leah Neal,EFGB#1,0.25,FGBNMS,FGBNMS,East Bank,continuous,57,500,7850,221.07142857142858,1,EFGB#1,500,6,0.24999999983333332,6,500,0.012,7850,4.75,0.374999999875,7850,0.6050955414012739,6.050955414012739e-4,87.16666666666667,0
1032,5413,0.485620915,NA,27,Reef,NA,NA,NA,Crepuscular,1,1,0.25,0.00417,0.25,0.25,Kara and Holden,0.333333333,0.333333333,0.666666667,NA,NA,High,NRM&CS,High,High,8/27/2019,Summer 2019,26,Leah Neal,EFGB#1,0.25,FGBNMS,FGBNMS,East Bank,continuous,57,500,7850,221.07142857142858,1,EFGB#1,500,6,0.24999999983333332,6,500,0.012,7850,4.75,0.374999999875,7850,0.6050955414012739,6.050955414012739e-4,87.16666666666667,0
1030,5413,0.485620915,NA,25,Reef,EXP,hover,active,Crepuscular,1,1,1,0.01667,0.75,0.75,Kris and Grytch,0.333333333,0.333333333,0.666666667,NA,NA,High,Volunteer,High,High,8/27/2019,Summer 2019,26,Leah Neal,EFGB#1,0.25,FGBNMS,FGBNMS,East Bank,continuous,57,500,7850,221.07142857142858,1,EFGB#1,500,6,0.24999999983333332,6,500,0.012,7850,4.75,0.374999999875,7850,0.6050955414012739,6.050955414012739e-4,87.16666666666667,0
