id,SurveyNum,Avrage_PR,Trans_lengthm,Lionfish_size_TL,Habitat_type,Lionfish_visibility,Lionfish_behaviour,Adj_behaviour,TOD,Num_attempts,Captured_bin,Mins_elapsed,Hrs_elapsed,Adj_min,Gamma_min,Capturer_name,Proportion_caught,Adj_Prop,Prop_remaining,Cap_Dives,Cap_removals,Cap_exp,Cap_affl,Cap_exp_new,Cap_exp_2821,Date,Date2,Study_period,Observer,Site_ID,Proportion_surveyed,Region,Sub_region,Location,Type,Depth_ft,trans_area,Site_area_m2,Average,LF,i.Site_ID,i.trans_area,NumPerSurv,AvgTimeSurv,i.NumPerSurv,i.trans_area.1,TransDens,i.Site_area_m2,AvgLFSite,AvgTimeSite,i.Site_area_m2.1,SiteDens1000,SiteDens,AvgCoral,AvgGorg
170,453,0.775,25,17,Reef,SH,rest,rest,midday,2,1,3,0.05,3,3,Jess,1,0.99999,0,NA,NA,High,Intern,Medium,Low,3/21/2014,Spring 2014,8,Jess and Taylor,BISC-P11a,0.5,Florida,BNP,Biscayne,patch,21,714,1428,41.36,1,BISC-P11a,714,1,3,1,714,0.0014005602240896359,1428,1.2222222222222223,1.6333333333333333,1428,0.855897914721444,8.558979147214442e-4,6.7214953271028035,35.56915887850467
285,2005,0.75,4,24,Reef,SH,rest,rest,midday,1,1,0.798,0.0133,0.798,0.798,Shelby,1,0.99999,0,1000,300,High,NRM&CS,High,High,3/25/2013,Spring 2013,2,Shelby/Vanessa,BISC-P11a,0.5,Florida,BNP,Biscayne,patch,19,765,1428,41.36,1,BISC-P11a,765,1,0.798,1,765,0.00130718954248366,1428,1.2222222222222223,1.6333333333333333,1428,0.855897914721444,8.558979147214442e-4,6.7214953271028035,35.56915887850467
287,2006,0.75,14,19,Reef,SH,rest,rest,midday,2,0,3,0.05,3,3,Ryan,0.5,0.5,0.5,1500,300,High,NRM&CS,High,High,3/25/2013,Spring 2013,2,Ryan/Christina,BISC-P11a,0.5,Florida,BNP,Biscayne,patch,22,765,1428,41.36,1,BISC-P11a,765,2,2.001,2,765,0.00261437908496732,1428,1.2222222222222223,1.6333333333333333,1428,0.855897914721444,8.558979147214442e-4,6.7214953271028035,35.56915887850467
286,2006,0.75,13,38,Reef,SH,rest,rest,midday,1,1,1.002,0.0167,1.002,1.002,Ryan,0.5,0.5,0.5,1500,300,High,NRM&CS,High,High,3/25/2013,Spring 2013,2,Ryan/Christina,BISC-P11a,0.5,Florida,BNP,Biscayne,patch,22,765,1428,41.36,1,BISC-P11a,765,2,2.001,2,765,0.00261437908496732,1428,1.2222222222222223,1.6333333333333333,1428,0.855897914721444,8.558979147214442e-4,6.7214953271028035,35.56915887850467
358,2145,0.65,1,19,Sand,EXP,rest,rest,midday,4,0,1.398,0.0233,1.398,1.398,Katie,0,0.001,1,500,50,Low,NRM&CS,Medium,Low,1/6/2014,Winter 2014,7,Katie/Ana,BISC-P11a,0.5,Florida,BNP,Biscayne,patch,21,1037,1428,41.36,1,BISC-P11a,1037,1,1.398,1,1037,9.643201542912247e-4,1428,1.2222222222222223,1.6333333333333333,1428,0.855897914721444,8.558979147214442e-4,6.7214953271028035,35.56915887850467
359,2146,0.65,60.7,23,Sand,EXP,rest,rest,midday,1,1,1.8,0.03,1.8,1.8,Katie,1,0.99999,0,500,50,Low,NRM&CS,Medium,Low,1/6/2014,Winter 2014,7,Katie/Ana,BISC-P11a,0.5,Florida,BNP,Biscayne,patch,21,1037,1428,41.36,1,BISC-P11a,1037,1,1.8,1,1037,9.643201542912247e-4,1428,1.2222222222222223,1.6333333333333333,1428,0.855897914721444,8.558979147214442e-4,6.7214953271028035,35.56915887850467
366,2164,0.775,41.7,33,Reef,EXP,rest,rest,midday,1,1,0.702,0.0117,0.702,0.702,Kristian,1,0.99999,0,60,50,Low,Intern,Low,Low,2/25/2014,Winter 2014,8,Ana/Kristian,BISC-P11a,0.5,Florida,BNP,Biscayne,patch,19,714,1428,41.36,1,BISC-P11a,714,1,0.702,1,714,0.0014005602240896359,1428,1.2222222222222223,1.6333333333333333,1428,0.855897914721444,8.558979147214442e-4,6.7214953271028035,35.56915887850467
469,2601,0.714285714,3,15,Reef,SH,hover,active,midday,1,0,3,0.05,3,3,Jack Fishman,0,0.001,1,400,2,Low,Intern,Low,Low,3/19/2015,Spring 2015,15,Jack and Allison,BISC-P11a,0.33,Florida,BNP,Biscayne,patch,17,714,1428,41.36,1,BISC-P11a,714,1,3,1,714,0.0014005602240896359,1428,1.2222222222222223,1.6333333333333333,1428,0.855897914721444,8.558979147214442e-4,6.7214953271028035,35.56915887850467
284,2001,0.75,23,12,Reef,EXP,rest,rest,midday,3,1,1.998,0.0333,1.998,1.998,Shelby,1,0.99999,0,1000,300,High,NRM&CS,High,High,3/25/2013,Spring 2013,2,Shelby/Vanessa,BISC-P13a,0.5,Florida,BNP,Biscayne,patch,25,1657.5,2184,49.07692307692308,1,BISC-P13a,1657.5,1,1.998,1,1657.5,6.033182503770739e-4,2184,1,1.998,2184,0.457875457875458,4.578754578754579e-4,4.171717171717171,50.422222222222224
301,2022,0.857142857,26,17,Reef,SH,hover,active,midday,1,1,0.882,0.0147,0.882,0.882,Shelby,1,0.99999,0,1000,300,High,NRM&CS,High,High,4/25/2013,Spring 2013,3,Shelby/Ryan,BISC-P9a,0.5,Florida,BNP,Biscayne,patch,26,1764,1806,48.18181818181818,1,BISC-P9a,1764,1,0.882,1,1764,5.668934240362812e-4,1806,1,0.882,1806,0.553709856035437,5.537098560354374e-4,12.22140192103077,35.590960810615385
