Site ID,TURF,C,G,S,Z,MA,OL,SEAG,DCA,CA,DC,SPR,U,TWS,points
Benwood Ledge,0,15,15,5,0,50,0,0,0,0,0,15,0,0,20
Benwood Ledge,0,0,5.263157895,10.52631579,0,73.68421053,0,0,0,0,0,10.52631579,0,5.263157895,19
Benwood Ledge,0,5,5,10,0,25,0,0,0,0,0,55,0,0,20
Benwood Ledge,0,5,5,10,0,35,0,0,0,0,0,45,0,0,20
Benwood Ledge,0,0,21.05263158,0,0,47.36842105,0,0,0,0,0,31.57894737,0,5.263157895,19
Benwood Ledge,0,0,15,15,0,40,0,0,0,0,0,30,0,0,20
Benwood Ledge,0,20,25,10,0,40,0,0,0,0,0,5,0,0,20
Benwood Ledge,0,0,0,0,0,45,0,0,0,5,0,50,0,0,20
Benwood Ledge,0,0,21.05263158,5.263157895,0,42.10526316,0,0,0,0,0,31.57894737,0,5.263157895,19
Benwood Ledge,0,15,25,0,0,30,0,0,0,0,0,30,0,0,20
Benwood Ledge,0,5,20,0,0,25,0,0,0,0,0,50,0,0,20
Benwood Ledge,0,5,0,10,0,5,0,0,0,0,0,80,0,0,20
Benwood Ledge,0,0,15.78947368,0,0,21.05263158,0,0,0,10.52631579,0,52.63157895,0,5.263157895,19
Benwood Ledge,0,0,5.555555556,5.555555556,0,38.88888889,0,0,0,0,0,50,0,11.11111111,18
Benwood Ledge,0,0,25,20,0,30,0,0,0,0,0,25,0,0,20
Benwood Ledge,0,0,5,0,0,40,0,0,0,0,0,55,0,0,20
Benwood Ledge,0,5,15,0,0,30,0,0,0,5,0,45,0,0,20
Benwood Ledge,0,10,15,5,0,30,0,0,0,5,0,35,0,0,20
Benwood Ledge,0,0,27.77777778,0,0,44.44444444,0,0,0,5.555555556,0,22.22222222,0,11.11111111,18
Benwood Ledge,0,0,15.78947368,0,0,52.63157895,0,0,0,5.263157895,0,26.31578947,0,5.263157895,19
Benwood Ledge,0,0,10.52631579,0,0,10.52631579,0,0,0,0,0,78.94736842,0,5.263157895,19
Benwood Ledge,0,22.22222222,16.66666667,0,0,50,0,0,0,0,0,11.11111111,0,11.11111111,18
Benwood Ledge,0,0,0,0,0,7.692307692,0,0,0,7.692307692,0,84.61538462,0,53.84615385,13
Benwood Ledge,0,15,5,15,0,30,0,0,0,5,0,30,0,0,20
Benwood Ledge,0,15,15,5,0,5,0,0,0,10,0,50,0,0,20
Benwood Ledge,0,0,5.555555556,0,0,11.11111111,0,0,0,22.22222222,0,61.11111111,0,11.11111111,18
Benwood Ledge,0,5,20,20,0,5,0,0,0,0,0,50,0,0,20
Benwood Ledge,0,15,10,15,0,5,0,0,0,5,0,50,0,0,20
Benwood Ledge,0,5,15,35,0,5,0,0,0,5,0,35,0,0,20
Benwood Ledge,0,0,5.555555556,0,0,5.555555556,0,0,0,5.555555556,0,83.33333333,0,11.11111111,18
Benwood Ledge,0,0,26.31578947,0,0,5.263157895,0,0,0,15.78947368,0,52.63157895,0,5.263157895,19
Benwood Ledge,0,0,5.263157895,0,0,10.52631579,0,0,0,0,0,84.21052632,0,5.263157895,19
Benwood Ledge,0,10,30,10,0,10,0,0,0,5,0,35,0,0,20
